#,Player,Pos,HT,WT,Age,Current Team,YOS,Pre-Draft Team,Draft Status,Nationality
5,Precious Achiuwa,SF,203.2,110.2,25,New York Knicks,4,Memphis,2020 Rnd 1 Pick 20,Nigeria
12,Steven Adams,C,210.8,120.2,31,Houston Rockets,11,Pittsburgh,2013 Rnd 1 Pick 12,New Zealand
13,Bam Adebayo,C,205.7,115.7,27,Miami Heat,7,Kentucky,2017 Rnd 1 Pick 14,United States
30,Ochai Agbaji,SF,195.6,97.5,24,Toronto Raptors,2,Kansas,2022 Rnd 1 Pick 14,United States
7,Santi Aldama,C,213.4,97.5,24,Memphis Grizzlies,3,Loyola (MD),2021 Rnd 1 Pick 30,Spain
23,Trey Alexander,SG,193.0,83.9,22,Denver Nuggets,0,Creighton,"2024 NBA Draft, Undrafted",United States
9,Nickeil Alexander-Walker,SG,195.6,93.0,26,Minnesota Timberwolves,5,Virginia Tech,2019 Rnd 1 Pick 17,Canada
8,Grayson Allen,SG,193.0,89.8,29,Phoenix Suns,6,Duke,2018 Rnd 1 Pick 21,United States
31,Jarrett Allen,C,205.7,110.2,26,Cleveland Cavaliers,7,Texas,2017 Rnd 1 Pick 22,United States
15,Jose Alvarado,G,182.9,81.2,26,New Orleans Pelicans,3,Georgia Tech,"2021 NBA Draft, Undrafted",United StatesPuerto Rico
20,Kyle Anderson,PF,205.7,104.3,31,Miami Heat,10,UCLA,2014 Rnd 1 Pick 30,United StatesChina
34,Giannis Antetokounmpo,F,210.8,110.2,30,Milwaukee Bucks,11,Filathlitikos Div II Greece (Greece),2013 Rnd 1 Pick 15,GreeceNigeria
50,Cole Anthony,PG,188.0,83.9,24,Orlando Magic,4,North Carolina,2020 Rnd 1 Pick 15,United States
8,OG Anunoby,SF,200.7,108.9,27,New York Knicks,7,Indiana,2017 Rnd 1 Pick 23,EnglandUnited States
8,Deni Avdija,SG,205.7,108.9,24,Portland Trail Blazers,4,Maccabi Tel Aviv U18 (Israel),2020 Rnd 1 Pick 9,Israel
2,Deandre Ayton,C,213.4,114.3,26,Portland Trail Blazers,6,Arizona,2018 Rnd 1 Pick 1,Bahamas
35,Marvin Bagley III,PF,208.3,106.6,25,Memphis Grizzlies,6,Duke,2018 Rnd 1 Pick 2,United States
1,LaMelo Ball,G,200.7,81.6,23,Charlotte Hornets,4,Illawarra (Australia),2020 Rnd 1 Pick 3,United States
2,Lonzo Ball,PG,198.1,86.2,27,Chicago Bulls,7,UCLA,2017 Rnd 1 Pick 2,United States
5,Paolo Banchero,C,208.3,113.4,22,Orlando Magic,2,Duke,2022 Rnd 1 Pick 1,United StatesItaly
22,Desmond Bane,SG,195.6,97.5,26,Memphis Grizzlies,4,TCU,2020 Rnd 1 Pick 30,United States
5,Dalano Banton,PG,203.2,92.1,25,Portland Trail Blazers,3,Nebraska,2021 Rnd 2 Pick 16,Canada
26,Dominick Barlow,F,203.2,97.5,22,Atlanta Hawks,2,Overtime Elite (Georgia),"2022 NBA Draft, Undrafted",United States
40,Harrison Barnes,SF,203.2,102.1,32,San Antonio Spurs,12,North Carolina,2012 Rnd 1 Pick 7,United States
